"Statistic","Year","Type of Crop","UNIT","VALUE"
"Crop Production","2014","Total oats","000 Tonnes","149.7"
"Crop Production","2014","Winter oats","000 Tonnes","87.8"
"Crop Production","2014","Spring oats","000 Tonnes","61.9"
"Crop Production","2014","Total barley","000 Tonnes","1731.2"
"Crop Production","2014","Winter barley","000 Tonnes","558.7"
"Crop Production","2014","Spring barley","000 Tonnes","1172.5"
"Crop Production","2014","Beans and peas","000 Tonnes","20.3"
"Crop Production","2014","Oilseed rape","000 Tonnes","34.2"
"Crop Production","2014","Potatoes","000 Tonnes","383"
"Crop Production","2015","Total wheat, oats and barley","000 Tonnes","2633.6"
"Crop Production","2015","Total wheat","000 Tonnes","696.6"
"Crop Production","2015","Winter wheat","000 Tonnes","610.1"
"Crop Production","2015","Spring wheat","000 Tonnes","86.5"
"Crop Production","2015","Total oats","000 Tonnes","197.7"
"Crop Production","2015","Winter oats","000 Tonnes","104.7"
"Crop Production","2015","Spring oats","000 Tonnes","93"
"Crop Production","2015","Total barley","000 Tonnes","1739.2"
"Crop Production","2015","Winter barley","000 Tonnes","711.9"
"Crop Production","2015","Spring barley","000 Tonnes","1027.4"
"Crop Production","2015","Beans and peas","000 Tonnes","69.3"
"Crop Production","2015","Oilseed rape","000 Tonnes","39.9"
"Crop Production","2015","Potatoes","000 Tonnes","360.1"
"Crop Production","2016","Total wheat, oats and barley","000 Tonnes","2310.9"
"Crop Production","2016","Total wheat","000 Tonnes","647.7"
"Crop Production","2016","Winter wheat","000 Tonnes","587.5"
"Crop Production","2016","Spring wheat","000 Tonnes","60.3"
"Crop Production","2016","Total oats","000 Tonnes","183.3"
"Crop Production","2016","Winter oats","000 Tonnes","110.3"
"Crop Production","2016","Spring oats","000 Tonnes","73"
"Crop Production","2016","Total barley","000 Tonnes","1479.9"
"Crop Production","2016","Winter barley","000 Tonnes","644.4"
"Crop Production","2016","Spring barley","000 Tonnes","835.5"
"Crop Production","2016","Beans and peas","000 Tonnes","70.6"
"Crop Production","2016","Oilseed rape","000 Tonnes","34.1"
"Crop Production","2016","Potatoes","000 Tonnes","352"
"Crop Production","2017","Total wheat, oats and barley","000 Tonnes","2392.6"
"Crop Production","2017","Total wheat","000 Tonnes","681.7"
"Crop Production","2017","Winter wheat","000 Tonnes","626.6"
"Crop Production","2017","Spring wheat","000 Tonnes","55.2"
"Crop Production","2017","Total oats","000 Tonnes","205"
"Crop Production","2017","Winter oats","000 Tonnes","128.7"
"Crop Production","2017","Spring oats","000 Tonnes","76.4"
"Crop Production","2017","Total barley","000 Tonnes","1505.8"
"Crop Production","2017","Winter barley","000 Tonnes","592.2"
"Crop Production","2017","Spring barley","000 Tonnes","913.7"
"Crop Production","2017","Beans and peas","000 Tonnes","90.2"
"Crop Production","2017","Oilseed rape","000 Tonnes","41.7"
"Crop Production","2017","Potatoes","000 Tonnes","412.4"
"Crop Production","2018","Total wheat, oats and barley","000 Tonnes","1853.9"
"Crop Production","2018","Total wheat","000 Tonnes","506.8"
"Crop Production","2018","Winter wheat","000 Tonnes","484.6"
"Crop Production","2018","Spring wheat","000 Tonnes","22.2"
"Crop Production","2018","Total oats","000 Tonnes","122.3"
"Crop Production","2018","Winter oats","000 Tonnes","80.1"
"Crop Production","2018","Spring oats","000 Tonnes","42.2"
"Crop Production","2018","Total barley","000 Tonnes","1224.9"
"Crop Production","2018","Winter barley","000 Tonnes","508.8"
"Crop Production","2018","Spring barley","000 Tonnes","716.1"
"Crop Production","2018","Beans and peas","000 Tonnes","22.7"
"Crop Production","2018","Oilseed rape","000 Tonnes","40.9"
"Crop Production","2018","Potatoes","000 Tonnes","273"
"Crop Production","2019","Total wheat, oats and barley","000 Tonnes","2396.2"
"Crop Production","2019","Total wheat","000 Tonnes","636"
"Crop Production","2019","Winter wheat","000 Tonnes","604.6"
"Crop Production","2019","Spring wheat","000 Tonnes","31.4"
"Crop Production","2019","Total oats","000 Tonnes","202.6"
"Crop Production","2019","Winter oats","000 Tonnes","147.2"
"Crop Production","2019","Spring oats","000 Tonnes","55.5"
"Crop Production","2019","Total barley","000 Tonnes","1557.6"
"Crop Production","2019","Winter barley","000 Tonnes","780.8"
"Crop Production","2019","Spring barley","000 Tonnes","776.7"
"Crop Production","2019","Beans and peas","000 Tonnes","44"
"Crop Production","2019","Oilseed rape","000 Tonnes","38.4"
"Crop Production","2019","Potatoes","000 Tonnes","382.4"
"Crop Production","2020","Total wheat, oats and barley","000 Tonnes","2013.2"
"Crop Production","2020","Total wheat","000 Tonnes","393"
"Crop Production","2020","Winter wheat","000 Tonnes","307.6"
"Crop Production","2020","Spring wheat","000 Tonnes","85.4"
"Crop Production","2020","Total oats","000 Tonnes","189.9"
"Crop Production","2020","Winter oats","000 Tonnes","67.6"
"Crop Production","2020","Spring oats","000 Tonnes","122.3"
"Crop Production","2020","Total barley","000 Tonnes","1430.3"
"Crop Production","2020","Winter barley","000 Tonnes","426.3"
"Crop Production","2020","Spring barley","000 Tonnes","1004"
"Crop Production","2020","Beans and peas","000 Tonnes","65.7"
"Crop Production","2020","Oilseed rape","000 Tonnes","45.1"
"Crop Production","2020","Potatoes","000 Tonnes","300.1"
"Crop Production","2021","Total wheat, oats and barley","000 Tonnes","2457.1"
"Crop Production","2021","Total wheat","000 Tonnes","662.4"
"Crop Production","2021","Winter wheat","000 Tonnes","609.7"
"Crop Production","2021","Spring wheat","000 Tonnes","52.7"
"Crop Production","2021","Total oats","000 Tonnes","238.3"
"Crop Production","2021","Winter oats","000 Tonnes","126.9"
"Crop Production","2021","Spring oats","000 Tonnes","111.4"
"Crop Production","2021","Total barley","000 Tonnes","1556.4"
"Crop Production","2021","Winter barley","000 Tonnes","638.8"
"Crop Production","2021","Spring barley","000 Tonnes","917.6"
"Crop Production","2021","Beans and peas","000 Tonnes","54.4"
"Crop Production","2021","Oilseed rape","000 Tonnes","52.2"
"Crop Production","2021","Potatoes","000 Tonnes","407.5"
